,country,year,continent,pop,"Agriculture, value added (% of GDP)",CO2 emissions (metric tons per capita),Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"Fertility rate, total (births per woman)",GDP growth (annual %),Imports of goods and services (% of GDP),"Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population density (people per sq. km of land area),"Services, etc., value added (% of GDP)"
45,Argentina,1987,Americas,31620918,8.09435846445,3.66916872512,47.58567736569999,1407.43581315,1477.07652885,7.8732058134,3.056,2.90999313057,7.575764069550001,37.8286752699,127.086376419,70.9677560976,11.446847469,54.07696626560001
46,Argentina,1992,Americas,33958947,5.99078709148,3.60858224101,22.4785777566,1405.10446113,1484.0589177000002,6.59818747204,2.9130000000000003,11.9407747351,8.13279311432,30.6839549022,11.9207602185,71.9889512195,12.2977571446,63.3252164422
47,Argentina,1997,Americas,36203463,5.67336683883,3.8512031253,30.3761991265,1838.89781664,1614.33824027,10.5607988827,2.664,8.11104677397,12.7753458149,29.5285518595,-0.463913134134,73.1080487805,13.0939072383,64.7980813017
48,Argentina,2002,Americas,38331121,10.8220871798,3.29154139321,62.421086122,2003.43404362,1502.22488095,28.3826540406,2.516,-10.894484811500002,13.3700972551,32.400285613,30.5552040288,74.1557804878,13.8449890196,56.777627207200005
49,Argentina,2007,Americas,40301927,8.78197083287,4.38270408112,25.7159947243,2438.00941924,1846.93675639,22.5605274925,2.4130000000000003,9.01574459003,18.1999554509,32.3112881262,14.9458095444,75.0090487805,14.6051993467,58.9067410409
50,Australia,1962,Oceania,10794968,,8.83568804692,42.9653479093,2012.66058462,3172.97486502,13.9461529796,3.442,1.32757523914,12.6337726709,,-0.0833122717438999,70.9424390244,1.3982791611899998,
51,Australia,1967,Oceania,11872264,,10.9556247987,44.9645820707,2969.48893974,3692.80794983,12.8884792627,2.8480000000000003,6.29705551127,13.8986175115,,4.87469349557,70.8692682927,1.53586816448,
52,Australia,1972,Oceania,13177000,7.033741835830001,11.951631555,42.1226012301,3880.92889125,4035.20634439,12.8321072642,2.744,3.9108611299,12.0379743988,39.1002608118,6.183164248430001,71.4575609756,1.7152415292299998,53.8659988594
53,Australia,1977,Oceania,14074100,6.15259981616,13.231896138699998,42.9287214581,5251.19785795,4671.19567362,14.0326932894,2.007,3.60727832218,14.696352479100002,38.5954923707,11.4145219214,73.34439024390001,1.84736341981,55.2519065144
54,Australia,1982,Oceania,15184200,6.10092267673,15.4249318092,38.5307263586,6391.29002504,4817.48952431,13.5459756362,1.929,3.32129592148,16.8786252322,37.8281000489,11.7212261042,74.9048780488,1.97571039923,56.0709819058
55,Australia,1987,Oceania,16257249,4.95824609446,15.7469578022,54.8048087297,7525.68572114,4772.37046465,15.4913853143,1.845,2.57449271363,17.1271781698,34.5694537085,7.0681916663,76.1517073171,2.11706129675,60.4723017786
56,Australia,1992,Oceania,17481977,3.34938816676,15.3177685053,74.6595055773,8550.32866533,4959.21491855,16.6721443653,1.888,0.399007033076,16.4692724749,29.4781149979,1.55037740758,77.3780487805,2.2773127839300003,67.1508845596
57,Australia,1997,Oceania,18565243,3.55452506955,16.5142732084,83.3715700228,9291.08386888,5469.5999892,19.1306441383,1.778,3.94734180402,18.8198133938,27.6442425178,1.2245639672600002,78.4804878049,2.41034585996,68.7850061679
58,Australia,2002,Oceania,19546792,4.3093560544,17.3704517744,99.2921246989,10813.1227292,5569.6409925,20.6750041147,1.756,3.85668672079,20.6517757119,25.7859546806,2.8629555796099995,79.9365853659,2.55800997097,69.8896089113
59,Australia,2007,Oceania,20434176,2.4014016490900003,17.8652600396,146.41520210299998,10972.8917398,5868.34709712,19.8960179801,1.959,3.75765786438,21.5065520269,27.8964886934,4.977313383899999,81.2926829268,2.7111151608200004,69.7021096575
60,Austria,1962,Europe,7129864,,4.7553616731,37.9665923433,2006.77039562,1675.87362115,23.4163731876,2.8,2.64867511295,22.2017169658,,3.34020321439,69.3095121951,86.3388713974,
61,Austria,1967,Europe,7376998,,5.41773672705,48.4154221358,2448.69254404,1920.21212423,23.7042547229,2.62,3.00804779775,24.6042864923,,3.24776256801,69.917804878,89.33153305889999,
62,Austria,1972,Europe,7544201,,7.448516814439999,56.6204054764,3404.46920754,2627.32249578,26.9956990393,2.08,6.20786097185,27.4082775777,,7.59993199764,70.4634146341,91.3562727053,
63,Austria,1977,Europe,7568430,4.99747029955,7.42806328393,73.7076199938,4137.71416265,2797.42192238,28.0214604124,1.63,5.07998083944,32.3743411381,38.0388559619,5.198712926130001,71.9146341463,91.6496730443,56.9636737386
64,Austria,1982,Europe,7574613,4.1168834609400005,7.11212494092,92.554995885,4730.57007132,2830.22178095,31.8181462475,1.66,2.01125437594,32.4264013233,35.8320255413,5.355289895119999,72.9609756098,91.7188181158,60.0510909978
65,Austria,1987,Europe,7578903,3.62342795211,7.623419814630001,109.846376534,5536.14415362,3174.74539203,31.4820450451,1.43,1.35716799725,31.4968458819,33.6815835115,2.43694820134,74.7682926829,91.7242189392,62.6949885364
66,Austria,1992,Europe,7914969,2.77137576075,7.226236428360001,118.077538603,6227.49804896,3239.0639673,33.2353314761,1.51,2.09352471907,34.5289764917,32.744401697,3.47909311685,75.8170731707,94.946827319,64.48422254229999
67,Austria,1997,Europe,8069876,2.14773331797,7.863667995680001,128.16567463,6620.44786165,3542.5214303,37.1095049389,1.39,2.20501964036,37.8834640896,32.1557455435,1.16082775775,77.3195121951,96.4887503027,65.69652113859999
68,Austria,2002,Europe,8148312,1.75749756306,8.279151819289998,119.187225603,7427.65644509,3765.28296302,45.3092484776,1.39,1.65585494262,41.6507009529,30.6161725321,1.14530398735,78.6780487805,97.8682126423,67.6263299048
69,Austria,2007,Europe,8199783,1.5995787339899998,8.40509279323,123.407406867,8185.53509878,4029.62695258,52.4851502713,1.38,3.62151042349,48.3336828443,30.8255909575,2.25198804572,80.1804878049,100.456380634,67.5748303085
70,Bahrain,1962,Asia,171863,,9.19360857735,,,,,7.167999999999999,,,,,54.8182682927,250.879710145,
71,Bahrain,1967,Asia,202182,,5.12101242081,,,,,6.997999999999999,,,,,60.858,284.352173913,
72,Bahrain,1972,Asia,230800,,16.0359774901,,1960.03275433,5960.21133509,,6.089,,,,,65.2777073171,332.736231884,
73,Bahrain,1977,Asia,297410,,24.6332196705,,3660.51524225,8187.11498635,,5.283,,,,,68.3777804878,439.472463768,
74,Bahrain,1982,Asia,377967,1.05777648089,25.4918020469,12.9150024395,5205.33747895,9071.02474414,118.981623869,4.69,-7.55621771216,106.777064488,52.8815144441,13.7239941504,70.5373658537,559.3478260869999,46.060709075
75,Bahrain,1987,Asia,454612,1.3425044176299998,25.456997198200003,20.2289410654,14701.755480000002,9523.46356521,102.367892612,4.128,10.3990093325,87.40003821549999,44.0258384841,0.659048470559,71.89595121949999,650.715942029,54.631664939
76,Bahrain,1992,Asia,529491,0.909896999552,20.8551558303,25.4010404357,18509.8747389,10844.7550254,84.3819917152,3.466,6.68999836661,96.7420454545,37.2114979848,-3.5326522905,72.91473170729999,736.2647887319999,61.8786050157
77,Bahrain,1997,Asia,598561,,28.9699833064,30.3606778339,21002.4856398,12122.0506027,79.0767821775,2.926,3.09299978673,69.5052959617,,0.931715111452,73.99160975609999,842.01971831,
78,Bahrain,2002,Asia,656397,,21.6421070771,40.4293196902,20286.338601900003,11704.3047293,72.21766035600001,2.665,3.614148289090001,58.389862877,,3.56464237045,74.9540731707,1021.64084507,
79,Bahrain,2007,Asia,708573,,26.0012907085,47.9978555777,20779.9191091,11291.126355,79.6795292321,2.292,8.29244382201,58.105521340200006,,8.4354370028,75.7077560976,1368.75733333,
80,Bangladesh,1962,Asia,56839289,57.0185740229,,,,,10.7467512833,6.794,5.45303096987,10.8080969924,7.96386176173,0.0222234958282999,47.08397560979999,392.030452485,35.017564215300006
81,Bangladesh,1967,Asia,62821884,55.8524783666,,,,,9.3061421233,6.92,-1.87586391965,12.595717986,8.10282841164,14.7919634515,48.83814634149999,458.0571099330001,36.0446932217
82,Bangladesh,1972,Asia,70759295,59.6099059973,0.0519295297619,,10.5063022572,86.903766977,5.67473040282,6.928,-13.973728702,13.7325591531,6.06410210551,4.40201965201,47.0343170732,519.155611892,34.3259918972
83,Bangladesh,1977,Asia,80428306,48.8980569259,0.077652827247,15.9697764496,18.2635673522,97.860763105,7.04075196548,6.681,2.67305605002,12.3814462329,16.7290739026,-3.2101559285400003,51.1056829268,575.005500499,34.3728691715
84,Bangladesh,1982,Asia,93074406,32.9796274224,0.1001431518999999,17.5617712102,25.247988115,105.482961637,5.07529986613,6.058,2.13432783577,15.5316243276,20.5295656204,9.85581246335,54.3030731707,659.66219559,46.4908069571
85,Bangladesh,1987,Asia,103764241,34.7687209713,0.120864332123,19.9783866741,38.4006962783,106.866835127,4.99004963896,5.092,3.77240185253,11.6977479923,20.050655947,11.1196311686,56.6685853659,754.008312207,45.1806230817
86,Bangladesh,1992,Asia,113704579,29.3847720907,0.159912481644,20.4860269477,58.7724059887,119.405481659,7.58667691037,4.146,5.44268555072,12.3473285921,22.477817762,2.5821618988900004,59.717853658500005,852.634700776,48.1374101473
87,Bangladesh,1997,Asia,123315288,24.4585569555,0.202825216451,26.2612910867,81.4329170107,135.210016124,10.5203705574,3.479,4.48989649736,15.8051428327,23.002927602600003,3.800232201180001,63.3578780488,949.328624107,52.5385154419
88,Bangladesh,2002,Asia,135656790,21.6684664576,0.2474304193829999,43.8463232196,119.600562749,149.933182829,12.4099689322,2.971,3.83312394006,16.557411789,24.0423817263,3.89286743491,66.4781707317,1046.54264423,54.2891518162
89,Bangladesh,2007,Asia,150448339,18.7060942247,0.302930322848,50.024690810100005,200.576171989,173.580998621,16.9953348465,2.521,7.05863620607,22.9470478067,25.7382687184,6.47122345564,68.85997560979999,1126.16337866,55.5556370569
90,Belgium,1962,Europe,9218400,,10.6411896304,34.3334938872,1753.14389185,2810.06114801,40.5730913202,2.59,5.21200350926,40.5845519258,,1.6676919464700002,70.21951219510001,,
91,Belgium,1967,Europe,9556500,,11.2172567535,37.4449016858,2357.58493041,3182.9234575,42.686732412800005,2.41,3.8681469469,42.2675614469,,3.19343093713,71.0129268293,,
92,Belgium,1972,Europe,9709100,,13.4726952569,40.090272212600006,3612.35553281,4473.92951273,43.677138130900005,2.09,5.29560440417,40.901579934,,6.317820354319999,71.4051219512,,
93,Belgium,1977,Europe,9821800,,12.8754387175,43.326035847700005,4404.82432074,4589.52441,47.0119767566,1.71,0.6261547986399999,47.9643728537,,7.47805961837,72.773902439,,
94,Belgium,1982,Europe,9856303,,11.9266847823,58.4167806833,4904.07001489,4208.25780214,57.4975713453,1.61,0.594986942681,59.566332931000005,,7.57041676485,73.8880487805,,
95,Belgium,1987,Europe,9870200,,10.4471727823,65.8590192349,5876.96299804,4727.68639528,55.2853290115,1.54,2.3066594630900004,53.8202994203,,1.6841106732100002,75.3658536585,,
96,Belgium,1992,Europe,10045622,,11.1464825143,142.265361505,6850.66377254,5092.96578511,58.1958342713,1.65,1.5306547989,56.0198770682,,3.42452454195,76.3512195122,,
97,Belgium,1997,Europe,10199787,1.48397520091,11.3288520215,140.79011465899998,7701.61213093,5579.51075728,63.8967697739,1.6,3.7104401241199993,60.4699234894,29.1736370477,0.8992378928370001,77.3707317073,,69.3423877514
98,Belgium,2002,Europe,10311970,1.14521802534,10.3854951013,109.370836213,8311.89267947,5461.40290348,70.3147727574,1.65,1.78052625534,64.8101122243,26.4660534505,1.6798217411399998,78.0756097561,341.241248349,72.3887285241
99,Belgium,2007,Europe,10392226,0.990615986042,9.74477719115,108.786597527,8614.49128057,5389.28164733,77.4908365667,1.82,3.3975453862700005,73.6727852921,24.9685429824,2.05823504418,79.78292682930001,350.914795244,74.0408410316
100,Benin,1962,Africa,2151895,44.709272675200005,0.0542015282643,7.112051577510001,,,3.51782319656,6.394,-3.42640982288,9.9593044611,9.79130917171,3.7805611359699993,38.1894146341,22.1996452643,45.499418153
101,Benin,1967,Africa,2427334,42.0810132044,0.0523195961148,6.916153730660001,,,7.66582205031,6.63,1.07839866578,19.7722662705,11.4130625066,0.141072430956,40.6808292683,24.2413089748,46.505924289
102,Benin,1972,Africa,2761407,34.2310223417,0.127891948804,9.57985150083,,380.812029086,14.384402214,6.823,6.42636754449,26.8001493927,13.8881251965,5.31722607762,43.479804878,26.9537069883,51.8808534288
103,Benin,1977,Africa,3168267,31.8550853763,0.0865397222006999,17.0828996653,,363.746124276,16.1789026141,6.984,4.9836637249,34.7807829045,12.5569870845,5.1768868154000005,46.0100487805,30.4386484569,55.5879264538
104,Benin,1982,Africa,3641603,32.501199685,0.124989475639,27.7760442671,,355.338045025,17.7710358297,7.021,2.2350663445500003,40.0862995442,15.1224192815,16.1482840147,48.1503414634,34.864801348,52.3763800494
105,Benin,1987,Africa,4243788,33.2799507626,0.118573003535,29.1186254796,,347.306591796,15.2675281202,6.904,-1.50000294944,30.9506070946,12.3655660113,3.0284598496,51.3690243902,40.3169208939,54.3544840993
106,Benin,1992,Africa,4981671,33.9419041359,0.1670467176349999,12.6506610407,,321.349456122,23.2391480496,6.603,2.95771082641,33.5015977552,12.7276805045,3.02513446571,54.3270243902,47.6962220646,53.3304153765
107,Benin,1997,Africa,6066080,35.7819301607,0.191382863348,7.042435981989999,47.3173647969,350.78972053,27.1761345945,6.205,5.734688376729999,31.5354950169,13.5207077595,3.66750917264,54.8423170732,56.4145175594,50.6973620723
108,Benin,2002,Africa,7026113,26.8860438049,0.280412782963,3.39668858619,,305.04923703400004,20.1878816346,5.818,4.64447002568,31.2963832785,32.6632102423,3.5531068784,55.8143170732,65.7568641362,40.4454555074
109,Benin,2007,Africa,8078314,27.6154121436,0.5162987386819999,8.36935203086,77.4033184893,368.216084341,22.5865082139,5.365,5.98651552197,35.2184550856,27.5756491312,0.390494254156,57.867390243900005,77.2227474282,44.80893872520001
110,Bolivia,1962,Americas,3593918,,0.28662649397,9.95245989723,,,12.463944768,6.632999999999999,5.57022534605,19.9423116288,,3.56999831172,42.7570487805,3.54296686052,
111,Bolivia,1967,Americas,4040665,,0.446569679542,12.6869078767,,,18.635521699,6.432,6.908867935510001,20.9649619114,,2.00786658473,44.504804878,3.91131357888,
112,Bolivia,1972,Americas,4565872,20.1894129453,0.7602361810860001,20.7715311005,173.474752506,240.157170254,21.1124401914,6.182,7.967485482160001,24.019138756,34.941043652800005,18.9960330824,46.463219512200006,4.33683190252,44.8695434019
113,Bolivia,1977,Americas,5079716,20.8469315928,0.856199952729,19.3846487357,216.100458626,331.439253894,26.7741286137,5.917000000000001,4.97121608746,29.6464904538,33.9476547002,12.5365008036,48.618902439,4.83123511493,45.205413707
114,Bolivia,1982,Americas,5642224,17.6261110163,0.745316773107,51.0761708971,264.087554364,462.43170312,29.0643469338,5.556,-3.938737804030001,29.4039143191,34.719797267800004,158.282749517,50.968097561,5.386491276649999,47.6540917465
115,Bolivia,1987,Americas,6156369,17.716551529700002,0.623387095776,13.824098725,232.8014632,341.493450003,19.6304776214,5.132000000000001,2.46347937283,23.992181678,32.997514217,14.5841961046,53.50797560979999,5.96763223484,49.2859342533
116,Bolivia,1992,Americas,6893451,16.0268512034,0.922958891002,33.738975087,291.234949764,399.828007323,20.045760867,4.7410000000000005,1.6465000387200002,29.0650961029,33.5585355183,13.1992041181,56.1982439024,6.583309332590001,50.4146132783
117,Bolivia,1997,Americas,7693188,17.240654520899998,1.40094843511,56.9639559082,391.570933799,561.077061465,21.1106024594,4.331,4.954208743,29.3590609479,30.550384641300003,5.70504254118,58.9886097561,7.2656327887,52.2089608378
118,Bolivia,2002,Americas,8445134,14.8987857225,1.1056077402700002,61.1235458431,434.3985902330001,528.760849998,21.6344550698,3.866,2.48556573784,27.7158053968,29.2953889615,2.82075753973,61.8288292683,7.98794701375,55.805825316
119,Bolivia,2007,Americas,9119152,12.8769620759,1.30616369337,53.508058124,545.359298466,561.052703379,41.795377103,3.427,4.564284924740001,34.2659379278,36.3894057267,7.37326609729,64.6941219512,8.71548232253,50.7336321974
120,Bosnia and Herzegovina,1962,Europe,3349000,,,,,,,3.665,,,,,61.5679756098,65.5256666667,
121,Bosnia and Herzegovina,1967,Europe,3585000,,,,,,,3.214,,,,,64.3972926829,70.9803333333,
122,Bosnia and Herzegovina,1972,Europe,3819000,,,,,,,2.75,,,,,67.1751463415,75.2549411765,
123,Bosnia and Herzegovina,1977,Europe,4086000,,,,,,,2.259,,,,,69.47292682930001,79.2475098039,
124,Bosnia and Herzegovina,1982,Europe,4172693,,,,,,,2.103,,,,,70.6371707317,82.875745098,
125,Bosnia and Herzegovina,1987,Europe,4338977,,,,,,,1.931,,,,,71.46392682930001,88.0734313725,
126,Bosnia and Herzegovina,1992,Europe,4256013,,3.4997543691,,1093.88866143,1034.34415156,,1.692,,,,,70.5180487805,84.0072070313,
127,Bosnia and Herzegovina,1997,Europe,3607000,21.3374492697,2.22095178171,62.3338512245,1368.75243759,712.9252777060001,27.8336349003,1.598,34.389574590900004,72.797329856,30.7157416816,13.0114817272,72.8587317073,73.8155078125,47.9468090487
128,Bosnia and Herzegovina,2002,Europe,4165416,10.0891533948,3.75525129407,27.522900826300003,2065.20046624,1156.99672325,24.3474149368,1.2819999999999998,5.300000267240001,70.9293545706,21.6810091641,4.46158278797,74.6755853659,74.3817773438,68.2298374411
129,Bosnia and Herzegovina,2007,Europe,4552198,9.7167030399,4.596618909709999,41.064927774,2334.38130953,1381.12205494,27.1055815456,1.253,5.72875707291,56.4586949513,27.3717972259,6.29489278127,75.3714878049,75.0081640625,62.9114997342
130,Botswana,1962,Africa,512764,40.4569282529,,,,,27.9260392617,6.649,6.6666678138,44.83899261729999,11.3128863156,1.3607353240900002,51.255024390200006,0.970462124821,48.2301854315
131,Botswana,1967,Africa,553541,,,,,,24.6138479649,6.696000000000001,5.924559942919999,50.773493145,,7.581551072050001,53.0282439024,1.11389197678,
132,Botswana,1972,Africa,619351,,0.0297423197440999,,,,37.372147915,6.579,26.3619409474,60.54287962229999,,10.7754221871,55.61273170729999,1.3053023485600002,
133,Botswana,1977,Africa,781472,24.8986095017,0.879789545536,8.528073635770001,,,50.9007232084,6.399,12.0120400916,69.3096646943,35.7618771727,4.93738330973,58.8351219512,1.56651844794,39.3395133256
134,Botswana,1982,Africa,970347,11.6722844406,1.02816735548,5.10980335869,564.506029186,739.29915268,54.5619826803,6.0120000000000005,12.1655318568,69.2741974068,49.195389801000005,3.69541837302,61.4814390244,1.88795722831,39.1323257584
135,Botswana,1987,Africa,1151184,6.69928796697,0.983125515578,-45.5832701925,775.7471920810001,743.685354401,75.1295650856,5.214,11.8819281351,48.4421882103,62.2476184283,12.694069826199998,62.8898292683,2.22455137367,31.0530936047
136,Botswana,1992,Africa,1342614,5.20492917047,1.90323550296,-42.190811509,864.1154491110001,979.087310581,48.1795630951,4.394,2.9170703069300004,41.5716914917,55.7947934192,6.63928072982,60.9384878049,2.57698198437,39.0002774103
137,Botswana,1997,Africa,1536536,3.81125120331,1.70221758293,-73.6602538221,963.030563005,900.173527778,60.88073855020001,3.746,8.0265490264,47.7236766006,49.1582728746,5.28153774597,52.4746097561,2.9041095407,47.0304759221
